hospital_id,city,symptom,predicted_disease,specialization,consultation_fee,estimated_meds_cost,total_estimated_cost,wait_time_mins,hospital_rating,doctor_exp_years,languages,distance_km,insurance_accepted,match_score
HOSP_0171,Mumbai,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,800,3473,4273,18,4.5,8,"English, Telugu",19.2,1,78
HOSP_0172,Bangalore,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,200,1667,1867,68,4.5,23,"English, Hindi",9.5,1,80
HOSP_0173,Chennai,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,800,1796,2596,47,3.9,19,"English, Tamil",6.1,1,94
HOSP_0174,Mumbai,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,1000,1326,2326,40,4.9,4,"English, Kannada",1.1,1,71
HOSP_0175,Mumbai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,800,3322,4122,58,4.2,13,"English, Telugu",18.0,1,80
HOSP_0176,Kadapa,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,800,1447,2247,29,3.9,13,"English, Tamil",2.0,0,81
HOSP_0177,Mumbai,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,1000,2216,3216,82,3.9,22,"English, Tamil",23.3,1,67
HOSP_0178,Chennai,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,1000,1981,2981,16,3.9,6,"English, Telugu",3.5,1,90
HOSP_0179,Mumbai,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,800,2506,3306,85,3.9,19,"English, Telugu",5.0,0,79
HOSP_0180,Vijayawada,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,1000,1708,2708,58,3.6,12,"English, Tamil",0.6,1,80
HOSP_0181,Delhi,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,250,820,1070,29,4.4,28,"English, Hindi",21.1,0,75
HOSP_0182,Mumbai,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,300,1616,1916,82,3.9,21,"English, Kannada",10.9,1,77
HOSP_0183,Chennai,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,250,3340,3590,69,4.4,17,"English, Hindi",18.6,0,80
HOSP_0184,Vijayawada,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,800,2766,3566,85,4.3,12,"English, Hindi",10.1,1,84
HOSP_0185,Bangalore,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,800,1877,2677,53,4.6,13,"English, Kannada",20.6,1,97
HOSP_0186,Kadapa,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,800,1305,2105,50,3.6,3,"English, Kannada",5.2,1,65
HOSP_0187,Kadapa,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,500,2104,2604,63,4.7,7,"English, Kannada",6.2,1,97
HOSP_0188,Bangalore,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,1000,2728,3728,72,4.0,8,"English, Telugu",24.9,1,76
HOSP_0189,Mumbai,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,1000,415,1415,22,4.4,28,"English, Kannada",24.1,1,75
HOSP_0190,Vijayawada,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,1000,932,1932,69,4.6,19,"English, Kannada",24.5,1,89
HOSP_0191,Kadapa,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,500,2974,3474,19,4.6,26,"English, Kannada",6.5,1,79
HOSP_0192,Kadapa,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,200,1312,1512,30,4.3,22,"English, Telugu",2.0,1,82
HOSP_0193,Hyderabad,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,250,2708,2958,16,4.9,11,"English, Hindi",8.0,1,82
HOSP_0194,Chennai,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,250,610,860,20,4.9,13,"English, Kannada",21.4,1,97
HOSP_0195,Hyderabad,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,300,1993,2293,20,3.7,9,"English, Kannada",20.6,1,94
HOSP_0196,Bangalore,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,250,3278,3528,34,4.4,12,"English, Hindi",14.6,1,92
HOSP_0197,Kadapa,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,1000,3180,4180,68,4.7,22,"English, Tamil",23.8,0,72
HOSP_0198,Mumbai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,800,3341,4141,82,3.7,6,"English, Hindi, Telugu",14.0,0,91
HOSP_0199,Hyderabad,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,1000,1981,2981,74,4.8,13,"English, Telugu",16.4,1,64
HOSP_0200,Mumbai,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,250,2692,2942,16,4.2,20,"English, Hindi, Telugu",15.7,1,82
HOSP_0201,Delhi,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,300,448,748,87,4.7,16,"English, Tamil",4.9,1,92
HOSP_0202,Chennai,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,200,2448,2648,66,3.8,6,"English, Kannada",21.3,1,96
HOSP_0203,Kadapa,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,1000,1067,2067,21,4.3,24,"English, Hindi, Telugu",10.0,0,61
HOSP_0204,Hyderabad,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,1000,1041,2041,35,4.6,28,"English, Hindi, Telugu",5.8,1,80
HOSP_0205,Mumbai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,800,472,1272,46,4.2,5,"English, Hindi",13.9,1,85
HOSP_0206,Mumbai,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,500,923,1423,66,4.8,12,"English, Hindi, Telugu",23.9,1,76
HOSP_0207,Delhi,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,200,871,1071,62,3.9,12,"English, Telugu",1.4,0,80
HOSP_0208,Bangalore,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,250,1075,1325,73,4.2,19,"English, Hindi",2.1,1,78
HOSP_0209,Chennai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,200,2434,2634,22,3.6,27,"English, Tamil",16.6,0,94
HOSP_0210,Hyderabad,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,500,2624,3124,72,4.2,6,"English, Tamil",24.3,0,87
HOSP_0211,Bangalore,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,250,1584,1834,19,4.5,10,"English, Telugu",1.0,1,87
HOSP_0212,Kadapa,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,200,2676,2876,80,4.5,5,"English, Hindi",6.8,1,84
HOSP_0213,Kadapa,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,1000,3114,4114,24,4.7,14,"English, Tamil",24.5,1,91
HOSP_0214,Mumbai,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,300,821,1121,29,3.7,20,"English, Hindi",9.6,1,84
HOSP_0215,Vijayawada,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,500,2761,3261,58,3.8,16,"English, Hindi",16.3,1,91
HOSP_0216,Chennai,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,200,3290,3490,32,4.5,23,"English, Kannada",1.8,1,81
HOSP_0217,Delhi,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,1000,3207,4207,43,4.6,4,"English, Hindi, Telugu",17.3,1,90
HOSP_0218,Kadapa,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,500,760,1260,36,4.3,3,"English, Tamil",7.8,1,88
HOSP_0219,Kadapa,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,200,3499,3699,22,4.2,18,"English, Hindi",18.7,0,63
HOSP_0220,Mumbai,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,250,2820,3070,24,4.6,16,"English, Tamil",5.1,1,72
HOSP_0221,Chennai,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,500,2945,3445,72,3.6,19,"English, Hindi",24.0,1,70
HOSP_0222,Kadapa,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,1000,1424,2424,72,4.1,6,"English, Kannada",19.6,1,85
HOSP_0223,Vijayawada,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,800,1121,1921,35,3.5,16,"English, Kannada",4.9,1,76
HOSP_0224,Hyderabad,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,1000,635,1635,72,4.3,6,"English, Telugu",15.2,1,78
HOSP_0225,Kadapa,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,1000,2558,3558,36,4.5,14,"English, Telugu",17.8,1,78
HOSP_0226,Chennai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,1000,482,1482,69,3.9,22,"English, Hindi",15.2,1,70
HOSP_0227,Chennai,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,1000,2136,3136,47,4.1,6,"English, Kannada",19.7,1,65
HOSP_0228,Bangalore,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,200,901,1101,30,3.8,22,"English, Hindi, Telugu",24.5,1,89
HOSP_0229,Vijayawada,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,200,2200,2400,65,4.9,12,"English, Tamil",11.0,0,88
HOSP_0230,Chennai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,200,3264,3464,88,4.9,6,"English, Telugu",2.5,1,94
HOSP_0231,Delhi,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,500,2161,2661,55,3.7,14,"English, Kannada",10.3,0,84
HOSP_0232,Hyderabad,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,1000,1731,2731,44,3.6,9,"English, Tamil",7.3,1,69
HOSP_0233,Delhi,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,800,881,1681,58,3.7,6,"English, Tamil",2.0,0,80
HOSP_0234,Mumbai,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,200,2310,2510,21,3.6,17,"English, Telugu",18.4,1,83
HOSP_0235,Mumbai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,250,2839,3089,28,4.6,28,"English, Hindi, Telugu",6.8,1,85
HOSP_0236,Delhi,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,300,670,970,26,4.0,11,"English, Hindi",4.2,1,66
HOSP_0237,Delhi,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,800,872,1672,42,4.6,11,"English, Hindi",13.8,1,65
HOSP_0238,Delhi,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,250,1152,1402,19,4.9,18,"English, Hindi",16.9,1,98
HOSP_0239,Kadapa,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,1000,2279,3279,73,4.2,21,"English, Hindi",5.4,1,79
HOSP_0240,Kadapa,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,500,2201,2701,29,3.8,23,"English, Kannada",21.8,1,99
HOSP_0241,Chennai,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,250,1180,1430,77,4.3,26,"English, Tamil",22.8,1,94
HOSP_0242,Kadapa,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,200,2726,2926,64,3.6,7,"English, Tamil",5.3,1,67
HOSP_0243,Chennai,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,200,2511,2711,86,4.7,17,"English, Telugu",4.4,1,71
HOSP_0244,Kadapa,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,300,3224,3524,17,4.8,13,"English, Hindi",15.2,1,67
HOSP_0245,Chennai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,300,912,1212,18,4.7,16,"English, Tamil",22.1,0,75
HOSP_0246,Kadapa,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,800,2210,3010,35,4.6,4,"English, Kannada",24.9,0,86
HOSP_0247,Delhi,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,300,2700,3000,82,4.6,4,"English, Telugu",2.4,1,87
HOSP_0248,Delhi,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,500,1757,2257,20,4.6,14,"English, Hindi",12.0,0,68
HOSP_0249,Mumbai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,1000,1454,2454,44,3.8,23,"English, Kannada",20.7,1,80
HOSP_0250,Chennai,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,250,340,590,65,4.2,28,"English, Tamil",16.5,1,81
HOSP_0251,Hyderabad,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,500,1974,2474,29,3.9,3,"English, Kannada",18.6,1,94
HOSP_0252,Kadapa,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,1000,2548,3548,34,3.8,10,"English, Tamil",17.5,1,97
HOSP_0253,Bangalore,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,200,1248,1448,60,4.6,6,"English, Kannada",6.2,0,72
HOSP_0254,Bangalore,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,200,945,1145,37,3.8,4,"English, Kannada",9.8,1,78
HOSP_0255,Chennai,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,200,580,780,54,4.6,28,"English, Hindi",7.7,0,78
HOSP_0256,Chennai,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,500,2520,3020,85,4.4,11,"English, Tamil",15.9,1,78
HOSP_0257,Vijayawada,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,1000,1760,2760,75,3.6,19,"English, Hindi",0.8,1,84
HOSP_0258,Hyderabad,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,300,3348,3648,73,4.6,11,"English, Kannada",2.1,0,61
HOSP_0259,Hyderabad,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,1000,1921,2921,55,5.0,25,"English, Hindi, Telugu",21.0,1,71
HOSP_0260,Bangalore,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,1000,1885,2885,35,3.6,22,"English, Hindi, Telugu",15.2,1,68
HOSP_0261,Delhi,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,500,1358,1858,79,3.5,25,"English, Kannada",22.8,1,74
HOSP_0262,Bangalore,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,250,1119,1369,36,4.4,21,"English, Kannada",19.8,1,66
HOSP_0263,Chennai,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,500,1729,2229,59,5.0,14,"English, Telugu",7.2,1,60
HOSP_0264,Mumbai,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,200,2920,3120,26,4.4,29,"English, Tamil",7.3,0,88
HOSP_0265,Delhi,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,300,1747,2047,28,4.4,15,"English, Kannada",5.6,1,97
HOSP_0266,Vijayawada,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,200,1513,1713,22,3.6,3,"English, Telugu",11.8,1,68
HOSP_0267,Delhi,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,200,1155,1355,35,4.0,9,"English, Hindi",1.2,1,78
HOSP_0268,Hyderabad,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,1000,300,1300,54,4.1,14,"English, Hindi, Telugu",18.0,1,92
HOSP_0269,Mumbai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,500,819,1319,39,4.5,25,"English, Hindi, Telugu",20.8,1,79
HOSP_0270,Mumbai,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,250,1647,1897,47,4.2,20,"English, Hindi, Telugu",3.5,1,79
HOSP_0271,Delhi,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,500,3002,3502,55,4.9,11,"English, Telugu",9.4,1,69
HOSP_0272,Bangalore,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,1000,3060,4060,53,4.8,22,"English, Tamil",18.7,1,62
HOSP_0273,Delhi,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,200,567,767,49,4.2,25,"English, Hindi, Telugu",10.3,0,90
HOSP_0274,Kadapa,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,200,2119,2319,35,4.5,20,"English, Kannada",17.0,1,97
HOSP_0275,Vijayawada,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,500,2189,2689,46,4.7,14,"English, Hindi",11.1,1,91
HOSP_0276,Bangalore,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,200,1441,1641,47,4.3,4,"English, Kannada",11.0,1,60
HOSP_0277,Kadapa,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,500,2110,2610,43,4.3,20,"English, Kannada",0.7,1,86
HOSP_0278,Delhi,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,200,2129,2329,78,4.4,4,"English, Kannada",14.7,1,90
HOSP_0279,Delhi,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,800,1757,2557,83,3.8,26,"English, Tamil",13.5,1,85
HOSP_0280,Vijayawada,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,1000,662,1662,78,4.1,21,"English, Telugu",8.2,1,89
HOSP_0281,Hyderabad,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,250,2472,2722,51,4.9,7,"English, Tamil",22.3,1,68
HOSP_0282,Hyderabad,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,800,358,1158,61,3.7,19,"English, Hindi, Telugu",24.3,1,64
HOSP_0283,Delhi,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,200,2232,2432,48,3.8,23,"English, Tamil",21.0,1,93
HOSP_0284,Bangalore,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,250,640,890,60,4.5,23,"English, Kannada",20.9,1,60
HOSP_0285,Kadapa,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,800,2830,3630,27,4.4,13,"English, Kannada",10.3,0,77
HOSP_0286,Mumbai,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,300,464,764,22,3.6,19,"English, Hindi, Telugu",13.8,1,86
HOSP_0287,Mumbai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,300,2145,2445,59,4.2,24,"English, Hindi, Telugu",18.8,1,64
HOSP_0288,Chennai,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,200,857,1057,26,5.0,21,"English, Tamil",13.1,1,91
HOSP_0289,Chennai,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,1000,1910,2910,47,4.3,25,"English, Tamil",13.0,1,76
HOSP_0290,Hyderabad,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,1000,381,1381,65,4.4,17,"English, Kannada",20.3,1,68
HOSP_0291,Hyderabad,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,200,2684,2884,86,3.6,8,"English, Tamil",11.5,1,90
HOSP_0292,Vijayawada,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,800,2049,2849,57,4.8,12,"English, Telugu",16.0,1,71
HOSP_0293,Delhi,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,300,995,1295,44,4.9,17,"English, Tamil",24.9,1,99
HOSP_0294,Delhi,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,500,324,824,51,4.6,7,"English, Hindi, Telugu",19.0,1,68
HOSP_0295,Chennai,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,300,2541,2841,77,3.6,11,"English, Telugu",2.4,1,89
HOSP_0296,Bangalore,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,300,1209,1509,74,4.4,4,"English, Hindi, Telugu",23.9,1,75
HOSP_0297,Delhi,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,250,2669,2919,80,4.6,26,"English, Kannada",21.7,1,82
HOSP_0298,Vijayawada,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,800,1888,2688,53,3.8,11,"English, Hindi, Telugu",1.3,1,78
HOSP_0299,Delhi,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,1000,2378,3378,69,4.3,12,"English, Telugu",20.6,1,79
HOSP_0300,Vijayawada,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,250,2759,3009,67,4.7,24,"English, Kannada",4.0,1,77
HOSP_0301,Kadapa,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,1000,1149,2149,89,3.9,19,"English, Hindi",0.5,1,85
HOSP_0302,Vijayawada,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,1000,2556,3556,64,4.2,8,"English, Hindi, Telugu",23.5,1,87
HOSP_0303,Delhi,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,200,1942,2142,33,4.3,4,"English, Kannada",14.5,0,72
HOSP_0304,Delhi,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,1000,2971,3971,70,4.9,7,"English, Hindi",17.3,1,92
HOSP_0305,Bangalore,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,200,2979,3179,69,3.5,25,"English, Hindi, Telugu",18.0,1,92
HOSP_0306,Bangalore,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,200,730,930,39,3.9,23,"English, Kannada",19.7,1,76
HOSP_0307,Vijayawada,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,500,1323,1823,55,4.2,18,"English, Telugu",16.0,1,66
HOSP_0308,Hyderabad,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,250,3088,3338,27,4.1,4,"English, Hindi",16.6,1,81
HOSP_0309,Chennai,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,800,2178,2978,59,3.6,11,"English, Kannada",18.6,1,80
HOSP_0310,Vijayawada,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,1000,1388,2388,35,3.9,5,"English, Hindi, Telugu",1.9,1,69
HOSP_0311,Chennai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,800,857,1657,27,4.1,26,"English, Telugu",1.0,1,69
HOSP_0312,Delhi,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,300,2458,2758,31,4.9,22,"English, Hindi, Telugu",11.9,0,85
HOSP_0313,Chennai,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,500,3131,3631,61,3.8,28,"English, Kannada",3.6,1,89
HOSP_0314,Mumbai,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,800,2059,2859,39,4.7,28,"English, Kannada",16.2,1,75
HOSP_0315,Hyderabad,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,500,1272,1772,21,4.8,21,"English, Hindi",13.9,0,82
HOSP_0316,Hyderabad,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,1000,1382,2382,18,4.8,11,"English, Hindi, Telugu",6.5,1,74
HOSP_0317,Kadapa,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,500,1541,2041,18,4.9,11,"English, Hindi, Telugu",13.5,1,70
HOSP_0318,Vijayawada,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,200,1852,2052,73,4.6,9,"English, Telugu",22.5,0,78
HOSP_0319,Hyderabad,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,800,2803,3603,82,4.1,13,"English, Tamil",20.3,0,97
HOSP_0320,Delhi,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,200,985,1185,40,3.7,7,"English, Kannada",16.0,1,92
HOSP_0321,Vijayawada,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,300,2362,2662,75,4.9,16,"English, Hindi, Telugu",15.7,0,77
HOSP_0322,Vijayawada,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,800,2057,2857,17,3.7,10,"English, Kannada",22.5,1,76
HOSP_0323,Hyderabad,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,250,1846,2096,42,4.5,11,"English, Kannada",23.8,0,85
HOSP_0324,Chennai,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,300,656,956,32,4.4,25,"English, Telugu",24.5,1,88
HOSP_0325,Hyderabad,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,250,1596,1846,57,4.3,4,"English, Telugu",19.1,1,67
HOSP_0326,Kadapa,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,1000,3180,4180,57,4.5,29,"English, Kannada",14.3,1,81
HOSP_0327,Delhi,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,800,2421,3221,50,4.0,12,"English, Tamil",1.6,0,99
HOSP_0328,Kadapa,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,300,3137,3437,41,3.5,5,"English, Kannada",16.7,1,68
HOSP_0329,Mumbai,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,300,2476,2776,46,4.3,9,"English, Hindi",16.1,1,89
HOSP_0330,Bangalore,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,200,3065,3265,31,4.7,22,"English, Hindi, Telugu",14.3,1,63
HOSP_0331,Mumbai,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,200,3429,3629,40,4.9,22,"English, Telugu",21.1,1,64
HOSP_0332,Delhi,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,200,2701,2901,55,4.9,7,"English, Tamil",14.3,1,71
HOSP_0333,Bangalore,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,300,1432,1732,74,4.1,25,"English, Telugu",22.4,1,63
HOSP_0334,Chennai,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,250,2975,3225,22,3.8,21,"English, Kannada",16.1,1,74
HOSP_0335,Hyderabad,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,200,3054,3254,38,4.7,6,"English, Telugu",19.5,1,63
HOSP_0336,Mumbai,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,200,2780,2980,67,3.9,25,"English, Hindi, Telugu",1.4,1,65
HOSP_0337,Delhi,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,250,3027,3277,21,3.8,23,"English, Hindi, Telugu",11.2,0,81
HOSP_0338,Chennai,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,500,3409,3909,50,4.6,7,"English, Hindi, Telugu",10.9,1,96
HOSP_0339,Bangalore,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,300,505,805,71,4.1,29,"English, Kannada",24.6,1,80
HOSP_0340,Delhi,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,300,2122,2422,56,4.6,29,"English, Telugu",19.6,1,70
HOSP_0341,Vijayawada,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,200,3132,3332,82,4.9,17,"English, Hindi",3.7,1,60
HOSP_0342,Bangalore,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,500,1404,1904,80,4.5,9,"English, Tamil",20.2,1,98
